n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy
4,10,5,0.15,0.1,10,0.7532467532467533
5,3,5,0.15,0.01,10,0.7564935064935066
4,7,15,0.15,0.001,10,0.737012987012987
5,10,20,0.15,0.01,10,0.7402597402597403
2,5,20,0.2,0.01,10,0.7272727272727273
3,5,20,0.2,0.001,10,0.75
2,10,10,0.1,0.001,10,0.75
5,3,5,0.15,0.1,10,0.7272727272727273
4,5,20,0.2,0.1,10,0.7402597402597402
3,5,15,0.1,0.1,10,0.7402597402597402
5,7,20,0.2,0.001,10,0.7727272727272727
4,3,15,0.15,0.001,10,0.7727272727272727
2,7,10,0.2,0.001,10,0.7727272727272727
5,5,10,0.1,0.001,10,0.7467532467532467
3,3,10,0.2,0.1,10,0.7402597402597402
5,7,20,0.05,0.1,10,0.7694805194805194
4,5,5,0.2,0.01,10,0.762987012987013
5,10,10,0.1,0.01,10,0.75
3,5,20,0.1,0.001,10,0.7597402597402597
4,5,10,0.2,0.01,10,0.7337662337662337
3,5,20,0.1,0.1,10,0.7337662337662337
5,7,20,0.1,0.1,10,0.7532467532467533
5,3,10,0.2,0.001,10,0.7305194805194806
5,3,10,0.15,0.001,10,0.7532467532467533
5,5,5,0.2,0.001,10,0.7694805194805194
2,3,15,0.05,0.001,10,0.7305194805194806
2,7,5,0.2,0.001,10,0.724025974025974
5,10,20,0.15,0.1,10,0.737012987012987
4,3,20,0.15,0.1,10,0.7662337662337662
2,7,5,0.1,0.1,10,0.7532467532467533
3,3,20,0.15,0.001,10,0.7337662337662337
5,10,10,0.05,0.1,10,0.7564935064935066
4,5,20,0.05,0.1,10,0.7305194805194806
5,10,10,0.15,0.1,10,0.7305194805194806
2,7,5,0.15,0.01,10,0.737012987012987
4,3,5,0.1,0.1,10,0.7564935064935066
4,5,15,0.15,0.001,10,0.7564935064935066
4,7,10,0.1,0.001,10,0.7694805194805194
4,7,20,0.15,0.001,10,0.7467532467532467
5,3,20,0.2,0.01,10,0.7597402597402598
2,7,15,0.05,0.1,10,0.75
4,3,20,0.05,0.1,10,0.724025974025974
4,7,10,0.2,0.01,10,0.7402597402597403
3,3,10,0.05,0.001,10,0.7402597402597403
3,10,20,0.2,0.01,10,0.762987012987013
3,7,20,0.1,0.1,10,0.7467532467532467
5,3,15,0.1,0.001,10,0.7564935064935066
2,3,15,0.1,0.001,10,0.7532467532467533
5,3,5,0.15,0.1,10,0.7727272727272727
3,10,15,0.05,0.01,10,0.762987012987013
2,3,15,0.1,0.1,10,0.7532467532467533
4,5,20,0.2,0.001,10,0.7532467532467533
5,3,10,0.05,0.01,10,0.7727272727272727
5,10,10,0.15,0.01,10,0.7435064935064934
4,3,5,0.05,0.001,10,0.775974025974026
4,3,10,0.1,0.01,10,0.7467532467532467
4,3,20,0.05,0.001,10,0.711038961038961
4,5,10,0.05,0.01,10,0.7305194805194806
5,5,20,0.15,0.1,10,0.737012987012987
4,10,15,0.05,0.1,10,0.7467532467532467
3,10,5,0.2,0.01,10,0.75
3,5,15,0.15,0.001,10,0.7532467532467533
2,10,15,0.1,0.001,10,0.7694805194805194
4,10,20,0.15,0.1,10,0.7305194805194806
3,7,15,0.15,0.1,10,0.7305194805194806
5,3,5,0.2,0.1,10,0.7662337662337663
3,10,5,0.15,0.001,10,0.737012987012987
2,5,15,0.15,0.01,10,0.7597402597402598
3,7,15,0.2,0.01,10,0.7727272727272727
5,3,20,0.2,0.001,10,0.7597402597402597
3,3,20,0.1,0.001,10,0.7305194805194806
2,10,15,0.15,0.001,10,0.7272727272727273
2,7,15,0.2,0.1,10,0.7305194805194806
5,10,10,0.2,0.001,10,0.762987012987013
5,10,15,0.05,0.01,10,0.7597402597402597
5,10,10,0.15,0.01,10,0.7402597402597402
2,7,5,0.05,0.01,10,0.7597402597402597
5,5,10,0.1,0.01,10,0.737012987012987
4,10,5,0.05,0.001,10,0.737012987012987
5,3,10,0.05,0.1,10,0.7467532467532467
4,3,20,0.05,0.1,10,0.7532467532467533
4,5,15,0.1,0.01,10,0.7467532467532467
3,5,10,0.05,0.1,10,0.7532467532467533
3,10,15,0.15,0.01,10,0.75
2,5,5,0.2,0.1,10,0.762987012987013
5,3,5,0.2,0.001,10,0.7727272727272727
5,7,20,0.15,0.001,10,0.7792207792207793
5,3,20,0.2,0.01,10,0.7824675324675325
2,5,5,0.1,0.1,10,0.7597402597402598
5,3,5,0.2,0.001,10,0.7564935064935066
2,5,5,0.15,0.1,10,0.7402597402597402
5,3,20,0.15,0.001,10,0.75
2,10,15,0.05,0.1,10,0.775974025974026
5,5,5,0.1,0.1,10,0.7467532467532467
3,5,15,0.2,0.01,10,0.75
5,5,20,0.15,0.01,10,0.7532467532467533
4,5,15,0.15,0.01,10,0.7922077922077921
3,5,5,0.2,0.001,10,0.7727272727272727
2,7,10,0.2,0.1,10,0.7662337662337663
2,5,15,0.1,0.1,10,0.7564935064935066
