n_colonies,local_patience,sharing_frequency,sharing_ratio,initial_mu,lm_max_iterations,mean_accuracy
3,3,10,0.1,0.001,10,0.9785714285714285
5,3,5,0.15,0.001,10,0.9714285714285714
5,5,5,0.15,0.001,10,0.9678571428571429
5,7,15,0.2,0.001,10,0.9714285714285714
3,7,5,0.05,0.01,10,0.9678571428571429
4,7,5,0.05,0.01,10,0.9785714285714285
3,7,20,0.15,0.001,10,0.975
4,10,10,0.2,0.01,10,0.9642857142857143
5,10,20,0.05,0.01,10,0.9678571428571429
5,10,10,0.2,0.01,10,0.975
5,5,20,0.2,0.001,10,0.9642857142857143
2,10,20,0.15,0.01,10,0.975
4,3,5,0.05,0.001,10,0.9642857142857143
5,3,20,0.2,0.001,10,0.9785714285714286
2,5,15,0.05,0.01,10,0.9714285714285714
3,7,20,0.05,0.1,10,0.9607142857142857
2,5,10,0.2,0.01,10,0.9714285714285715
3,7,5,0.05,0.1,10,0.9785714285714285
5,3,10,0.05,0.01,10,0.9714285714285714
5,7,5,0.15,0.001,10,0.9714285714285714
3,7,5,0.1,0.1,10,0.975
4,3,5,0.05,0.01,10,0.9535714285714285
2,7,15,0.05,0.001,10,0.9571428571428572
5,7,10,0.2,0.001,10,0.975
2,7,5,0.1,0.1,10,0.9642857142857143
2,7,5,0.05,0.001,10,0.9714285714285714
3,5,15,0.05,0.001,10,0.9714285714285714
3,3,10,0.05,0.1,10,0.975
2,3,20,0.1,0.001,10,0.9678571428571429
2,10,20,0.1,0.1,10,0.9678571428571429
5,7,10,0.1,0.01,10,0.9678571428571429
3,5,15,0.15,0.01,10,0.975
5,3,10,0.2,0.001,10,0.9571428571428572
3,5,15,0.05,0.001,10,0.9607142857142857
5,7,15,0.15,0.1,10,0.9607142857142856
2,3,10,0.1,0.1,10,0.9714285714285715
4,7,10,0.2,0.01,10,0.9535714285714285
3,5,10,0.1,0.01,10,0.9607142857142857
4,7,15,0.15,0.01,10,0.975
5,3,10,0.05,0.1,10,0.9642857142857143
5,5,15,0.1,0.1,10,0.975
2,3,5,0.2,0.01,10,0.9785714285714285
5,3,10,0.05,0.001,10,0.975
3,5,5,0.1,0.001,10,0.9678571428571429
3,7,15,0.2,0.1,10,0.9714285714285714
4,7,5,0.15,0.1,10,0.9678571428571429
5,7,15,0.1,0.001,10,0.9785714285714285
4,10,15,0.15,0.001,10,0.9821428571428572
5,5,5,0.1,0.1,10,0.9714285714285714
4,3,5,0.1,0.01,10,0.9714285714285714
2,5,5,0.1,0.001,10,0.9678571428571429
2,3,20,0.1,0.01,10,0.9571428571428572
3,3,10,0.1,0.001,10,0.975
4,3,10,0.05,0.1,10,0.9607142857142856
2,5,15,0.2,0.01,10,0.9607142857142856
4,7,20,0.05,0.001,10,0.9714285714285714
3,10,5,0.2,0.001,10,0.9714285714285714
4,3,20,0.15,0.1,10,0.9678571428571429
4,10,10,0.1,0.01,10,0.9678571428571429
5,7,10,0.2,0.01,10,0.9535714285714285
2,5,10,0.15,0.1,10,0.9678571428571429
4,7,15,0.15,0.01,10,0.9571428571428571
4,7,20,0.05,0.01,10,0.975
3,5,15,0.15,0.1,10,0.9607142857142857
5,3,15,0.05,0.01,10,0.9678571428571429
4,3,5,0.15,0.01,10,0.9678571428571429
3,5,20,0.05,0.001,10,0.9678571428571429
2,10,5,0.2,0.01,10,0.9678571428571429
4,3,5,0.1,0.1,10,0.9714285714285714
5,7,10,0.1,0.1,10,0.9678571428571429
5,10,5,0.2,0.1,10,0.975
3,3,5,0.1,0.01,10,0.9678571428571429
5,5,15,0.2,0.1,10,0.9642857142857143
2,5,5,0.05,0.001,10,0.975
2,5,5,0.1,0.01,10,0.9642857142857142
4,10,20,0.1,0.1,10,0.9821428571428572
3,5,10,0.15,0.1,10,0.9678571428571429
2,7,15,0.15,0.1,10,0.9678571428571429
5,3,20,0.2,0.1,10,0.975
3,5,20,0.2,0.1,10,0.975
5,7,10,0.1,0.001,10,0.95
3,10,10,0.15,0.01,10,0.9464285714285714
2,5,15,0.15,0.01,10,0.9535714285714285
4,3,20,0.05,0.01,10,0.9678571428571429
3,5,20,0.15,0.001,10,0.975
5,3,20,0.15,0.001,10,0.9607142857142856
3,5,20,0.1,0.001,10,0.9678571428571429
3,7,15,0.2,0.001,10,0.9785714285714285
4,7,5,0.1,0.01,10,0.9714285714285715
5,5,5,0.15,0.01,10,0.9785714285714285
5,5,5,0.2,0.01,10,0.975
5,3,15,0.05,0.001,10,0.9678571428571429
2,3,15,0.15,0.01,10,0.9642857142857143
4,7,10,0.15,0.001,10,0.9714285714285714
2,5,20,0.2,0.01,10,0.9714285714285714
3,3,20,0.15,0.001,10,0.9714285714285714
3,10,15,0.15,0.001,10,0.975
5,10,10,0.2,0.001,10,0.975
5,7,5,0.05,0.01,10,0.9785714285714285
5,5,15,0.05,0.001,10,0.9678571428571429
2,7,15,0.1,0.01,10,0.975
3,10,5,0.05,0.01,10,0.9678571428571429
2,5,20,0.2,0.1,10,0.9678571428571429
5,5,20,0.15,0.001,10,0.9642857142857142
3,3,15,0.15,0.1,10,0.975
2,3,5,0.05,0.1,10,0.975
4,5,10,0.05,0.1,10,0.9821428571428572
4,7,10,0.1,0.1,10,0.9714285714285714
4,7,20,0.1,0.1,10,0.9714285714285714
4,3,5,0.2,0.01,10,0.9714285714285714
4,7,20,0.05,0.01,10,0.9714285714285714
2,3,5,0.05,0.1,10,0.975
4,3,10,0.2,0.01,10,0.9607142857142857
3,5,5,0.15,0.01,10,0.975
2,5,10,0.05,0.1,10,0.9607142857142857
4,10,5,0.2,0.1,10,0.9714285714285714
2,10,5,0.05,0.1,10,0.9714285714285714
5,10,5,0.1,0.1,10,0.9678571428571429
4,7,15,0.2,0.01,10,0.9607142857142856
4,7,5,0.2,0.1,10,0.9642857142857143
3,5,20,0.1,0.01,10,0.9714285714285714
5,7,15,0.1,0.01,10,0.975
4,10,10,0.05,0.01,10,0.9607142857142856
3,3,5,0.15,0.1,10,0.9714285714285714
5,10,20,0.2,0.001,10,0.9642857142857143
5,3,20,0.15,0.01,10,0.9642857142857143
2,10,15,0.1,0.001,10,0.9714285714285714
3,7,5,0.1,0.001,10,0.9607142857142857
3,7,15,0.05,0.01,10,0.9750000000000001
2,3,10,0.1,0.01,10,0.975
4,3,5,0.15,0.01,10,0.975
4,7,20,0.15,0.001,10,0.9714285714285714
4,3,5,0.05,0.01,10,0.9714285714285714
5,3,5,0.1,0.001,10,0.9678571428571429
4,7,20,0.05,0.01,10,0.9714285714285714
4,5,10,0.15,0.01,10,0.9678571428571429
4,5,15,0.05,0.1,10,0.9750000000000001
4,10,15,0.15,0.01,10,0.9750000000000001
5,3,15,0.2,0.01,10,0.9714285714285714
2,10,5,0.05,0.001,10,0.9750000000000001
4,7,10,0.1,0.01,10,0.9642857142857143
2,3,15,0.05,0.001,10,0.9678571428571429
2,10,10,0.1,0.1,10,0.9714285714285714
2,10,5,0.15,0.001,10,0.9714285714285714
5,3,10,0.15,0.1,10,0.9642857142857143
4,10,15,0.1,0.01,10,0.9571428571428572
2,3,5,0.05,0.01,10,0.975
5,10,15,0.1,0.001,10,0.975
3,7,15,0.1,0.01,10,0.9714285714285714
3,10,5,0.1,0.01,10,0.9678571428571429
3,7,15,0.2,0.001,10,0.975
5,3,15,0.15,0.1,10,0.9678571428571429
5,5,10,0.15,0.01,10,0.9714285714285714
3,10,5,0.15,0.1,10,0.9607142857142856
5,10,10,0.15,0.001,10,0.9678571428571429
5,3,5,0.15,0.1,10,0.9714285714285714
5,7,15,0.15,0.001,10,0.9714285714285714
5,5,5,0.15,0.001,10,0.9785714285714285
4,7,5,0.2,0.1,10,0.975
5,5,15,0.2,0.01,10,0.9678571428571429
5,10,10,0.15,0.001,10,0.9678571428571429
3,3,10,0.15,0.1,10,0.9642857142857142
5,5,15,0.1,0.1,10,0.9571428571428571
2,7,5,0.15,0.001,10,0.9678571428571429
4,10,5,0.2,0.01,10,0.9678571428571429
3,3,15,0.05,0.1,10,0.9571428571428571
3,7,10,0.15,0.1,10,0.9678571428571429
4,10,20,0.05,0.001,10,0.9642857142857143
3,10,10,0.05,0.01,10,0.9678571428571429
2,10,15,0.2,0.01,10,0.9678571428571429
3,10,20,0.05,0.01,10,0.9607142857142856
3,10,15,0.1,0.1,10,0.9607142857142857
5,10,5,0.1,0.1,10,0.9642857142857143
2,5,5,0.2,0.01,10,0.975
2,3,15,0.05,0.01,10,0.9607142857142856
3,7,10,0.2,0.01,10,0.9785714285714285
3,3,5,0.1,0.1,10,0.9785714285714285
2,7,10,0.1,0.001,10,0.9678571428571429
3,10,5,0.1,0.01,10,0.975
2,3,5,0.1,0.01,10,0.9678571428571429
5,7,5,0.1,0.01,10,0.9714285714285714
2,7,5,0.15,0.01,10,0.9785714285714285
4,10,10,0.2,0.001,10,0.9678571428571429
2,3,15,0.1,0.001,10,0.9607142857142856
2,5,5,0.2,0.01,10,0.9678571428571429
3,5,20,0.1,0.01,10,0.9642857142857143
4,3,15,0.05,0.1,10,0.9714285714285714
3,3,5,0.15,0.1,10,0.9678571428571429
5,10,5,0.15,0.1,10,0.9678571428571429
5,7,10,0.1,0.1,10,0.9714285714285714
4,10,10,0.1,0.001,10,0.9678571428571429
5,3,10,0.2,0.1,10,0.9714285714285714
5,7,15,0.2,0.1,10,0.9642857142857142
2,5,15,0.05,0.1,10,0.9714285714285714
3,3,10,0.1,0.001,10,0.9642857142857143
2,3,20,0.05,0.001,10,0.9678571428571429
2,3,15,0.2,0.01,10,0.9607142857142857
2,7,15,0.15,0.01,10,0.9857142857142858
2,10,20,0.15,0.01,10,0.9785714285714286
3,5,20,0.15,0.001,10,0.9642857142857142
5,7,15,0.05,0.001,10,0.9714285714285714
2,5,5,0.15,0.001,10,0.9714285714285714
4,10,10,0.2,0.1,10,0.9642857142857142
5,7,5,0.05,0.1,10,0.9714285714285714
2,5,20,0.1,0.001,10,0.9678571428571429
3,3,20,0.15,0.1,10,0.9678571428571429
3,3,5,0.1,0.1,10,0.9678571428571429
5,5,20,0.15,0.001,10,0.95
4,5,5,0.1,0.01,10,0.9607142857142857
4,5,15,0.05,0.1,10,0.9642857142857143
2,7,20,0.2,0.01,10,0.9642857142857143
4,7,5,0.1,0.1,10,0.975
3,10,15,0.15,0.01,10,0.9714285714285714
4,5,15,0.05,0.01,10,0.9678571428571429
4,10,15,0.2,0.001,10,0.9678571428571429
3,7,5,0.15,0.01,10,0.9607142857142857
4,7,20,0.15,0.1,10,0.9678571428571429
5,3,20,0.05,0.01,10,0.9607142857142857
2,3,10,0.05,0.001,10,0.9607142857142857
3,10,10,0.1,0.1,10,0.9678571428571429
4,5,10,0.1,0.1,10,0.9785714285714285
4,3,5,0.1,0.1,10,0.975
4,7,10,0.2,0.001,10,0.9785714285714286
3,3,5,0.1,0.001,10,0.9607142857142856
5,3,20,0.2,0.1,10,0.9714285714285714
2,5,10,0.05,0.1,10,0.975
4,10,5,0.05,0.01,10,0.9714285714285714
2,7,5,0.1,0.01,10,0.9607142857142857
3,10,10,0.1,0.001,10,0.9678571428571429
2,10,5,0.05,0.01,10,0.9714285714285714
4,3,15,0.05,0.001,10,0.9714285714285714
5,10,20,0.15,0.01,10,0.975
2,3,5,0.15,0.01,10,0.9678571428571429
4,10,15,0.1,0.1,10,0.975
3,3,10,0.05,0.1,10,0.9714285714285714
5,10,15,0.2,0.001,10,0.9714285714285714
4,5,5,0.15,0.001,10,0.9714285714285714
3,5,15,0.1,0.001,10,0.9642857142857143
3,3,5,0.1,0.1,10,0.9642857142857143
5,5,5,0.05,0.01,10,0.9678571428571429
4,7,5,0.05,0.1,10,0.9714285714285714
5,5,5,0.05,0.1,10,0.9607142857142857
3,7,10,0.1,0.01,10,0.975
2,10,15,0.2,0.1,10,0.975
3,3,20,0.05,0.1,10,0.975
2,3,20,0.1,0.001,10,0.9642857142857143
3,7,5,0.2,0.1,10,0.9714285714285715
4,10,5,0.05,0.1,10,0.9714285714285714
2,5,20,0.1,0.001,10,0.9642857142857143
4,10,5,0.05,0.1,10,0.9642857142857143
4,5,20,0.2,0.1,10,0.9642857142857143
3,10,15,0.05,0.01,10,0.9678571428571429
3,5,5,0.2,0.001,10,0.9714285714285715
5,3,5,0.05,0.01,10,0.9714285714285714
5,3,20,0.1,0.001,10,0.9678571428571429
4,5,15,0.2,0.01,10,0.9642857142857143
5,7,5,0.05,0.001,10,0.9642857142857143
3,10,15,0.2,0.001,10,0.9714285714285714
4,7,20,0.05,0.001,10,0.9678571428571429
4,3,5,0.05,0.01,10,0.9678571428571429
5,7,15,0.1,0.1,10,0.9607142857142857
2,7,5,0.1,0.001,10,0.9714285714285714
4,7,15,0.1,0.01,10,0.9678571428571429
5,7,5,0.1,0.1,10,0.975
4,5,20,0.1,0.01,10,0.9714285714285714
2,3,20,0.15,0.01,10,0.9714285714285714
5,3,10,0.15,0.001,10,0.9571428571428571
2,3,20,0.15,0.01,10,0.9714285714285714
5,10,20,0.05,0.1,10,0.975
5,5,15,0.1,0.1,10,0.9714285714285714
3,3,20,0.1,0.1,10,0.9785714285714285
5,10,15,0.1,0.001,10,0.9714285714285714
2,5,20,0.2,0.01,10,0.975
5,7,20,0.05,0.01,10,0.9535714285714285
2,5,10,0.05,0.01,10,0.9678571428571429
3,10,15,0.1,0.01,10,0.9571428571428572
3,10,15,0.05,0.1,10,0.9642857142857143
4,10,5,0.2,0.1,10,0.9678571428571429
2,7,5,0.1,0.1,10,0.9714285714285714
4,10,15,0.15,0.01,10,0.9714285714285714
4,5,10,0.1,0.01,10,0.9678571428571429
2,10,5,0.15,0.001,10,0.9714285714285714
2,7,15,0.15,0.001,10,0.9642857142857143
2,7,20,0.2,0.01,10,0.9714285714285714
4,5,20,0.1,0.1,10,0.9607142857142857
4,7,5,0.1,0.001,10,0.975
2,7,20,0.05,0.1,10,0.9607142857142857
5,5,15,0.05,0.001,10,0.975
4,7,5,0.1,0.01,10,0.975
4,5,5,0.15,0.001,10,0.9678571428571429
2,10,20,0.1,0.1,10,0.975
5,10,15,0.2,0.01,10,0.9535714285714285
2,3,5,0.05,0.1,10,0.9607142857142857
4,5,10,0.2,0.1,10,0.9714285714285714
4,3,20,0.2,0.001,10,0.9678571428571429
5,10,10,0.15,0.01,10,0.975
4,3,10,0.1,0.1,10,0.9642857142857143
2,5,20,0.2,0.001,10,0.9714285714285714
3,10,5,0.2,0.1,10,0.9714285714285714
3,5,5,0.05,0.01,10,0.9642857142857143
5,10,15,0.2,0.001,10,0.9607142857142856
2,10,5,0.1,0.01,10,0.9642857142857143
5,5,10,0.15,0.1,10,0.9607142857142857
3,10,15,0.05,0.001,10,0.9607142857142856
2,10,10,0.05,0.1,10,0.9678571428571429
3,7,20,0.05,0.001,10,0.9678571428571429
5,3,10,0.2,0.1,10,0.9607142857142857
5,5,10,0.2,0.001,10,0.9642857142857143
3,10,20,0.1,0.001,10,0.9571428571428571
3,3,5,0.05,0.001,10,0.9642857142857143
3,3,5,0.2,0.01,10,0.9678571428571429
3,7,10,0.1,0.1,10,0.9607142857142857
3,5,10,0.1,0.1,10,0.9571428571428571
3,5,15,0.2,0.001,10,0.9785714285714285
5,7,5,0.15,0.1,10,0.9678571428571429
3,3,10,0.05,0.1,10,0.975
4,10,5,0.1,0.01,10,0.9678571428571429
5,5,20,0.1,0.1,10,0.9607142857142857
4,7,15,0.15,0.01,10,0.9607142857142857
3,5,10,0.15,0.1,10,0.9678571428571429
4,3,20,0.1,0.01,10,0.9642857142857143
4,5,10,0.2,0.1,10,0.9785714285714286
5,3,5,0.05,0.1,10,0.9785714285714285
3,7,15,0.1,0.001,10,0.9678571428571429
5,3,15,0.05,0.1,10,0.9714285714285714
5,7,20,0.1,0.01,10,0.9821428571428572
3,7,10,0.05,0.001,10,0.9642857142857143
